edge_id,src_node_id,dst_node_id,edge_type,timestamp,amount,amount_log,balance_before,balance_after,transaction_type,channel,is_international,hour,day_of_week,is_weekend,is_night,velocity_1h,velocity_24h,amount_zscore,device_change,ip_change,location_change,recipient_is_new,recipient_risk_score,sender_avg_amount,sender_std_amount,amount_deviation,time_since_last_tx,tx_count_1h,tx_count_24h,failed_attempts,login_attempts,session_duration,app_version,os_type,browser_type,screen_resolution,language,timezone_offset,merchant_category,merchant_risk,is_recurring,is_scheduled,otp_verified,biometric_verified,pin_verified,risk_score_realtime
E00021,N0009,N0021,transfer,2024-12-07 03:45:00,55000000,17.82,60000000,5000000,peer_transfer,web,1,3,5,1,1,1,2,6.0,1,1,1,1,0.9,600000,100000,545.0,300,1,2,3,6,350,1.8,windows,firefox,1366x768,vi,7,peer_transfer,0.9,0,0,0,0,0,0.96
E00022,N0009,N0022,transfer,2024-12-07 03:48:00,4500000,15.32,5000000,500000,peer_transfer,web,1,3,5,1,1,2,3,4.2,1,1,1,1,0.9,600000,100000,39.0,180,2,3,3,6,360,1.8,windows,firefox,1366x768,vi,7,peer_transfer,0.9,0,0,0,0,0,0.82
E00023,N0010,N0016,transfer,2024-12-07 08:00:00,6000000,15.61,150000000,144000000,business,mobile,0,8,5,1,0,0,1,0.0,0,0,0,0,0.1,6000000,1200000,0.0,86400,0,1,0,1,90,2.2,android,chrome,1440x2560,vi,7,business,0.2,1,1,1,1,1,0.08
E00024,N0010,N0019,transfer,2024-12-07 16:30:45,5500000,15.52,144000000,138500000,business,web,0,16,5,1,0,1,2,0.1,0,0,0,0,0.1,6000000,1200000,0.42,30600,1,2,0,1,200,2.2,windows,edge,1920x1080,vi,7,business,0.2,0,0,1,0,1,0.10
E00025,N0011,N0017,transfer,2024-12-07 11:45:22,1600000,14.29,32000000,30400000,peer_transfer,mobile,0,11,5,1,0,0,1,0.0,0,0,0,0,0.1,1600000,320000,0.0,86400,0,1,0,1,110,2.0,ios,safari,750x1334,vi,7,peer_transfer,0.1,0,0,1,1,1,0.10
E00026,N0012,N0018,transfer,2024-12-07 14:30:18,1900000,14.46,38000000,36100000,peer_transfer,mobile,0,14,5,1,0,0,1,0.0,0,0,0,0,0.1,1900000,380000,0.0,43200,0,1,0,1,130,2.0,android,chrome,1080x1920,vi,7,peer_transfer,0.1,0,0,1,1,1,0.11
E00027,N0013,N0020,transfer,2024-12-07 09:45:33,4500000,15.32,100000000,95500000,business,mobile,0,9,5,1,0,0,1,0.0,0,0,0,0,0.1,4500000,900000,0.0,86400,0,1,0,1,140,2.1,android,chrome,1440x2560,vi,7,business,0.2,1,0,1,1,1,0.09
E00028,N0005,N0021,transfer,2024-12-07 02:10:00,35000000,17.37,9200000,-25800000,peer_transfer,mobile,1,2,5,1,1,1,2,5.5,1,1,1,1,0.9,800000,200000,171.0,400,1,2,2,5,320,1.9,ios,safari,750x1334,vi,7,peer_transfer,0.9,0,0,0,0,0,0.93
E00029,N0005,N0023,transfer,2024-12-07 02:13:00,500000,13.12,-25800000,-26300000,peer_transfer,mobile,1,2,5,1,1,2,3,3.5,1,1,1,1,0.9,800000,200000,1.5,180,2,3,2,5,330,1.9,ios,safari,750x1334,vi,7,peer_transfer,0.9,0,0,0,0,0,0.72
E00030,N0014,N0016,transfer,2024-12-07 13:10:33,500000,13.12,8000000,7500000,peer_transfer,mobile,0,13,5,1,0,0,1,0.0,0,0,0,0,0.1,500000,100000,0.0,172800,0,1,0,1,60,1.8,android,chrome,720x1280,vi,7,peer_transfer,0.1,0,0,1,0,1,0.09
E00031,N0015,N0019,transfer,2024-12-07 10:45:12,5500000,15.52,120000000,114500000,business,mobile,0,10,5,1,0,0,1,0.0,0,0,0,0,0.1,5500000,1100000,0.0,86400,0,1,0,1,160,2.2,android,chrome,1440x2560,vi,7,business,0.2,1,1,1,1,1,0.08
E00032,N0015,N0020,transfer,2024-12-07 15:20:45,6000000,15.61,114500000,108500000,business,web,0,15,5,1,0,1,2,0.1,0,0,0,0,0.1,5500000,1100000,0.45,16500,1,2,0,1,220,2.2,windows,chrome,1920x1080,vi,7,business,0.2,0,0,1,0,1,0.10
