transaction_id,user_id,timestamp,amount,transaction_type,channel,recipient_id,recipient_type,device_id,device_type,ip_address,location_city,location_country,merchant_category,is_international,session_duration_sec,login_attempts,time_since_last_transaction_min,is_new_recipient,is_new_device,is_new_location,hour_of_day,day_of_week,is_weekend,velocity_1h,velocity_24h,amount_deviation_ratio,is_fraud,fraud_type
TXN000030,USR001,2024-12-07 11:45:18,450000,payment,mobile,MER009,merchant,DEV001,android,113.161.72.45,Hanoi,Vietnam,groceries,0,95,1,75,0,0,0,11,6,1,3,10,0.08,0,normal
TXN000031,USR006,2024-12-07 13:30:45,2100000,transfer,mobile,USR015,individual,DEV006,ios,113.161.85.23,Hanoi,Vietnam,peer_transfer,0,165,1,105,0,0,0,13,6,1,2,5,0.25,0,normal
TXN000032,USR008,2024-12-07 15:20:12,1850000,payment,web,MER010,merchant,DEV008,windows,42.115.67.89,Danang,Vietnam,electronics,0,410,1,325,0,0,0,15,6,1,2,4,0.27,0,normal
TXN000033,USR009,2024-12-07 03:45:00,55000000,transfer,mobile,USR333,individual,DEV066,android,178.128.67.89,Amsterdam,Netherlands,peer_transfer,1,28,8,317,1,1,1,3,6,1,2,5,4.58,1,new_recipient
TXN000034,USR011,2024-12-07 16:10:33,1200000,payment,mobile,MER011,merchant,DEV011,android,113.161.89.34,Hanoi,Vietnam,dining,0,180,1,265,0,0,0,16,6,1,2,6,0.17,0,normal
TXN000035,USR013,2024-12-07 14:45:22,5500000,transfer,web,USR018,individual,DEV013,windows,42.115.34.56,Danang,Vietnam,peer_transfer,0,135,1,325,0,0,0,14,6,1,2,3,0.22,0,normal
TXN000036,USR015,2024-12-07 11:30:18,3200000,transfer,mobile,USR020,individual,DEV015,ios,27.72.189.45,HCMC,Vietnam,peer_transfer,0,155,1,45,0,0,0,11,6,1,2,4,0.34,0,normal
TXN000037,USR016,2024-12-07 16:45:55,680000,payment,mobile,MER012,merchant,DEV016,android,113.161.67.23,Hanoi,Vietnam,entertainment,0,240,1,50,0,0,0,16,6,1,2,5,0.16,0,normal
TXN000038,USR018,2024-12-07 10:15:22,2400000,transfer,mobile,USR016,individual,DEV018,android,27.72.234.56,HCMC,Vietnam,peer_transfer,0,170,1,45,0,0,0,10,6,1,2,5,0.27,0,normal
TXN000039,USR019,2024-12-07 15:30:45,1100000,transfer,mobile,USR017,individual,DEV019,ios,113.161.123.45,Hanoi,Vietnam,peer_transfer,0,195,1,75,0,0,0,15,6,1,2,4,0.38,0,normal
TXN000040,USR020,2024-12-07 11:20:18,8500000,transfer,mobile,USR013,individual,DEV020,ios,27.72.45.67,HCMC,Vietnam,peer_transfer,0,125,1,75,0,0,0,11,6,1,2,4,0.17,0,normal
